,fundname,isincode
712,みずほＵＳハイイールドオープンＢコース（為替ヘッジなし）,JP90C0002A11
713,ＪＡ資産設計ファンド（成長型）,JP90C0002A45
714,みずほＵＳハイイールドファンド＜ＤＣ年金＞,JP90C0002A52
715,朝日ライフ　ＳＲＩ　社会貢献ファンド,JP90C0002A94
716,朝日ライフ　日経平均ファンド,JP90C0002AA7
717,朝日ライフ　クオンツ　日本株オープン,JP90C0002AB5
718,朝日ライフ　リサーチ　日本株オープン,JP90C0002AC3
719,朝日Ｎｖｅｓｔ　グローバル　ボンドオープン,JP90C0002AD1
720,朝日Ｎｖｅｓｔ　グローバル　バリュー株オープン,JP90C0002AE9
721,朝日ライフ　ＤＣ日経平均ファンド,JP90C0002AF6
722,世界８資産ファンド　分配コース,JP90C0002B02
723,世界８資産ファンド　成長コース,JP90C0002B10
724,ステート・ストリート外国株式インデックス・オープン,JP90C0002B28
725,ＪＰＭ日本中小型株ファンド,JP90C0002B36
726,世界８資産ファンド　安定コース,JP90C0002B44
727,ＳＢＩ中小型割安成長株ファンド　ジェイリバイブ,JP90C0002B51
728,ＧＴグローバル　インベストメント・オープン,JP90C0002B69
729,インベスコ　女性力フォーカス日本株式ファンド,JP90C0002B77
730,インベスコ　ジャパン・エンタープライズ・オープン,JP90C0002BF4
731,インベスコ　インカムセレクトファンド,JP90C0002BL2
732,インベスコ　オーストラリア債券ファンド（毎月決算型）,JP90C0002C19
733,インベスコ　店頭・成長株オープン,JP90C0002C27
734,インベスコ・ジャパン・ニューフロンティア・オープン,JP90C0002CC9
735,ブラックロック・ゴールド・メタル・オープン　Ａコース,JP90C0002CH8
736,ブラックロック・ゴールド・メタル・オープン　Ｂコース,JP90C0002CJ4
737,ブラックロック米国小型成長株式オープン　Ａコース（為替ヘッジなし）,JP90C0002CK2
738,ブラックロック米国小型成長株式オープン　Ｂコース（為替ヘッジあり）,JP90C0002CL0
739,ブラックロック・アクティブ・ジャパン・オープン,JP90C0002CM8
740,ブラックロック・ＵＳベーシック・バリュー・オープン,JP90C0002CS5
741,ブラックロック・ワールド・ボンド・オープン（為替ヘッジなし）,JP90C0002CT3
742,ブラックロック・ワールド・ボンド・オープン（為替ヘッジあり）,JP90C0002CU1
743,ＪＡ資産設計ファンド（積極型）,JP90C0002CV9
744,シュローダー日本ファンド（野村ＳＭＡ向け）,JP90C0002CX5
745,ブラックロック欧州株式オープン,JP90C0002D26
746,ブラックロック日本株式オープン,JP90C0002D34
747,ブラックロック日本小型株オープン,JP90C0002D42
748,ブラックロック・ワールド債券ファンド（為替ヘッジなし）,JP90C0002D59
749,ブラックロック・ワールド債券ファンド（為替ヘッジあり）,JP90C0002D67
750,ブラックロック・グローバル・バランス・ファンド,JP90C0002D75
751,ブラックロック世界バランス・ファンド,JP90C0002D83
752,ブラックロック・ゴールド・ファンド,JP90C0002DD5
753,ブラックロック・ワールド・インカム・ストラテジー,JP90C0002DG8
754,ブラックロック世界好配当株式オープン,JP90C0002DH6
755,ブラックロック・インド株ファンド,JP90C0002DK0
756,ブラックロック・ラテンアメリカ株式ファンド,JP90C0002DM6
757,アライアンス・バーンスタイン・グローバル・ボンド・ファンド,JP90C0002DS3
758,アライアンス・バーンスタイン・グローバル・グロース・オポチュニティーズ（年金向け）,JP90C0002DT1
759,ＪＰＭ・Ｅ−フロンティア・オープン,JP90C0002DU9
760,ステート・ストリートＤＣ外国株式インデックス・オープン,JP90C0002DV7
761,ＪＡ海外債券ファンド（隔月分配型）,JP90C0002DW5
762,ＪＰＭザ・ジャパン,JP90C0002DX3
763,ステート・ストリートＤＣ外国債券インデックス・オープン,JP90C0002DY1
764,さわかみファンド,JP90C0002DZ8
765,ありがとうファンド,JP90C0002E58
766,ＪＰＭ中小型株・アクティブ・オープン,JP90C0002E74
767,ＪＰＭワールド・ＣＢ・オープン,JP90C0002EA9
768,インベスコＭＳＣＩコクサイ・インデックス・ファンド,JP90C0002ED3
769,インベスコ　日本株式グロース・ファンド,JP90C0002EE1
770,インベスコ　マグナム・ジャパン・バリュー・オープン,JP90C0002EG6
771,インベスコ　ジャパン・グロース・ファンド,JP90C0002EH4
772,ＭＳＣＩインデックス・セレクト・Ｆ　コクサイ・ポートフォリオ,JP90C0002EK8
773,インベスコ　マンスリー・インカム・ファンド,JP90C0002EL6
774,インベスコ　世界厳選株式オープン＜為替ヘッジあり＞（毎月決算型）,JP90C0002EQ5
775,グローバル・ボンド・オープンＩＭ,JP90C0002EW3
776,インベスコ　世界厳選株式オープン＜為替ヘッジなし＞（毎月決算型）,JP90C0002EX1
777,ＪＰＭ日本株・オープン,JP90C0002G15
778,ＵＢＳオーストラリア債券オープン（毎月分配型）,JP90C0002GD8
779,ＵＢＳ　ＤＣ海外株式ファンド,JP90C0002GG1
780,ＵＢＳニュ−・メジャ−・バランス・ファンド（毎月分配型）,JP90C0002GT4
781,積立て株式ファンド,JP90C0002GY4
782,情報エレクトロニクスファンド,JP90C0002H06
783,株式インデックス２２５,JP90C0002H97
784,ミリオン（インデックス　ポートフォリオ）,JP90C0002HC8
785,ミリオン（バランス　ポートフォリオ）,JP90C0002HD6
786,スーパーバランス（毎月分配型）,JP90C0002HU0
787,明治安田日本株式リサーチオープン,JP90C0002HV8
788,明治安田ＤＣ日本株式リサーチオープン,JP90C0002HW6
789,明治安田外国債券オープン,JP90C0002HZ9
790,明治安田日本債券オープン（毎月決算型）,JP90C0002J04
791,明治安田外国債券オープン（毎月分配型）,JP90C0002J12
792,グローバル・インカム・プラス（毎月分配型）,JP90C0002J20
793,ミリオン（従業員積立投資プラン）インデックスポートフォリオ,JP90C0002J46
794,ミリオン（従業員積立投資プラン）フィナンシャルミックスポートフォリオ,JP90C0002J53
795,明治安田ＤＣハートフルライフ（プラン３０）,JP90C0002J95
796,明治安田ＤＣハートフルライフ（プラン５０）,JP90C0002JA8
797,明治安田ＤＣハートフルライフ（プラン７０）,JP90C0002JB6
798,明治安田ＴＯＰＩＸオープン,JP90C0002JC4
799,明治安田ＤＣ・ＴＯＰＩＸオープン,JP90C0002JD2
800,明治安田ＤＣグローバルバランスオープン,JP90C0002JE0
801,明治安田ＤＣ日本債券オープン,JP90C0002JF7
802,明治安田ＤＣ外国株式リサーチオープン,JP90C0002JG5
803,明治安田ＤＣ外国債券オープン,JP90C0002JH3
804,明治安田ＤＣ日本株式アルファオープン,JP90C0002JK7
805,明治安田ＤＣ日本株式アクティブ・ポートフォリオ,JP90C0002JL5
806,いちよしグロース１,JP90C0002KC2
807,エス・ビー・日本株オープン２２５,JP90C0002L91
808,エス・ビー・日本債券ファンド,JP90C0002LA4
809,大和住銀ＤＣ外国株式ファンド,JP90C0002LK3
810,大和住銀ＤＣ外国債券ファンド,JP90C0002LL1
811,大和住銀ＤＣ日本株式ファンド,JP90C0002LM9
812,大和住銀ＤＣ日本債券ファンド,JP90C0002LN7
813,大和住銀ＤＣ年金設計ファンド３０,JP90C0002LP2
814,大和住銀ＤＣ年金設計ファンド５０,JP90C0002LQ0
815,大和住銀ＤＣ年金設計ファンド７０,JP90C0002LR8
816,大和住銀日本バリュー株ファンド,JP90C0002LS6
817,大和住銀ＤＣ日本バリュー株ファンド,JP90C0002LT4
818,大和住銀ジャパン・スペシャル　ニュートラル・コース（ヘッジあり）,JP90C0002LV0
819,大和住銀ジャパン・スペシャル　マーケット・コース（ヘッジなし）,JP90C0002LW8
820,大和住銀日本グロース株ファンド,JP90C0002LX6
821,短期豪ドル債オープン（毎月分配型）,JP90C0002M09
822,エマージング債券ファンド（毎月分配型）,JP90C0002M17
823,Ｔ．ロウ・プライス　ＵＳインカムファンド,JP90C0002M25
824,Ｊ−ＳＴＯＣＫ　アクティブ・オープン,JP90C0002M33
825,チャイナ騰飛（チャイナ・エクイティ・オープン）,JP90C0002M41
826,大和住銀日本小型株ファンド,JP90C0002M58
827,グローバル好配当株オープン,JP90C0002MB0
828,日本好配当株オープン,JP90C0002MC8
829,Ｍ＆Ａフォーカス・ファンド,JP90C0002MD6
830,グローバル・ベスト・ファンド,JP90C0002ME4
831,大和住銀ＤＣ国内株式ファンド,JP90C0002MF1
832,トピックス・インデックス・オープン,JP90C0002PF4
833,スーパー　トレンド　オープン,JP90C0002PH0
834,ミリオン（ジャパンドリーム　ポートフォリオ）,JP90C0002PL2
835,リサーチ・アクティブ・オープン,JP90C0002PN8
836,日本低位株ファンド,JP90C0002PQ1
837,アジア　オープン,JP90C0002PR9
838,ストラテジック・バリュー・オープン,JP90C0002PX7
839,米国ＮＡＳＤＡＱオープン　Ａコース,JP90C0002PY5
840,米国ＮＡＳＤＡＱオープン　Ｂコース,JP90C0002PZ2
841,バランスセレクト　３０,JP90C0002Q54
842,バランスセレクト　５０,JP90C0002Q62
843,バランスセレクト　７０,JP90C0002Q70
844,ハイ・イールドボンドオープン　Ｃコース,JP90C0002QB1
845,ハイ・イールドボンドオープン　Ｄコース,JP90C0002QC9
846,野村外国債券インデックスファンド,JP90C0002QN6
847,野村外国株式インデックスファンド,JP90C0002QP1
848,野村国内債券インデックスファンド,JP90C0002QQ9
849,野村豪州債券ファンド　Ａコース,JP90C0002QR7
850,野村豪州債券ファンド　Ｂコース,JP90C0002QS5
851,野村豪州債券ファンド　Ｃコース,JP90C0002QT3
852,野村豪州債券ファンド　Ｄコース,JP90C0002QU1
853,野村リアルグロース・オープン,JP90C0002QV9
854,オーストラリア債券ファンド,JP90C0002QW7
855,グローバル・ハイインカム・ストック・ファンド,JP90C0002QX5
856,ワールド・ゲノムテクノロジー・オープン　Ａコース,JP90C0002QY3
857,ワールド・ゲノムテクノロジー・オープン　Ｂコース,JP90C0002QZ0
858,米欧債券・インカムオープン,JP90C0002R12
859,ワールド・ウォーター・ファンド　Ａコース,JP90C0002R87
860,ワールド・ウォーター・ファンド　Ｂコース,JP90C0002RV7
861,ノムラ日米ＲＥＩＴファンド,JP90C0002RW5
862,野村グローバルＳＲＩ　１００,JP90C0002RX3
863,ハイブリッド・インカムオープン,JP90C0002RZ8
864,高利回り社債オープン,JP90C0002SH4
865,世界好配当株投信,JP90C0002SJ0
866,高利回り社債オープン・為替ヘッジ,JP90C0002SK8
867,グローバルＲＥＩＴオープン,JP90C0002SL6
868,Ｊ−ＲＥＩＴオープン（年４回決算型）,JP90C0002SM4
869,日本好配当株投信,JP90C0002SN2
870,好配当日本株式オープン,JP90C0002SP7
871,野村インド株投資,JP90C0002SQ5
872,野村世界不動産投信,JP90C0002ST9
873,世界三資産バランスファンド,JP90C0002SV5
874,ノムラ日本株戦略ファンド（野村ＳＭＡ向け）,JP90C0002SZ6
875,ノムラ日本債券オープン（野村ＳＭＡ向け）,JP90C0002T02
876,世界好配当株投信（野村ＳＭＡ向け）,JP90C0002T10
877,ハイ・イールドボンドオープン　Ａコース（野村ＳＭＡ向け）,JP90C0002T28
878,ハイ・イールドボンドオープン　Ｂコース（野村ＳＭＡ向け）,JP90C0002T36
879,野村世界ＲＥＩＴファンドＡコース（野村ＳＭＡ向け）,JP90C0002T44
880,野村世界ＲＥＩＴファンドＢコース（野村ＳＭＡ向け）,JP90C0002T51
881,野村世界６資産分散投信（安定コース）,JP90C0002T77
882,野村世界６資産分散投信（分配コース）,JP90C0002T85
883,野村世界６資産分散投信（成長コース）,JP90C0002T93
884,京都・滋賀インデックスファンド,JP90C0002TA7
885,野村小型株オープン,JP90C0002TD1
886,リサーチ・アクティブ・オープン（野村ＳＭＡ向け）,JP90C0002TF6
887,ノムラ・ジャパン・オープン（野村ＳＭＡ向け）,JP90C0002TG4
888,ノムラ・ジャパン・バリュー・オープン（野村ＳＭＡ向け）,JP90C0002TH2
889,野村ピクテ・プレミアム・ブランド・ファンド　Ａコース,JP90C0002TM2
890,野村ピクテ・プレミアム・ブランド・ファンド　Ｂコース,JP90C0002TN0
891,マイストーリー・株　２５,JP90C0002TT7
892,マイストーリー・株　５０,JP90C0002TU5
893,マイストーリー・株　７５,JP90C0002TV3
894,マイストーリー・株　１００,JP90C0002TW1
895,マイストーリー・日本株　１００,JP90C0002TX9
896,ノムラファンドマスターズ日本小型株,JP90C0002TY7
897,ノムラファンドマスターズ世界債券　Ａコース,JP90C0002TZ4
898,ノムラファンドマスターズ世界債券　Ｂコース,JP90C0002U09
899,ノムラファンドマスターズ日本株,JP90C0002U33
900,マイストーリー分配型（年６回）　Ａコース,JP90C0002U41
901,マイストーリー分配型（年６回）　Ｂコース,JP90C0002U58
902,ノムラファンドマスターズ新興国株　Ａコース,JP90C0002U66
903,ノムラファンドマスターズ新興国株　Ｂコース,JP90C0002U74
904,ノムラ・オールインワン・ファンド,JP90C0002U82
905,野村グローバル・ファンズ・プレミアム（３ヵ月決算型）,JP90C0002U90
906,ハッピーライフファンド・株２５,JP90C0002UA5
907,ハッピーライフファンド・株５０,JP90C0002UB3
908,ハッピーライフファンド・株１００,JP90C0002UC1
909,第１回　野村短期公社債ファンド,JP90C0002UD9
910,第２回　野村短期公社債ファンド,JP90C0002UE7
911,第３回　野村短期公社債ファンド,JP90C0002UF4
912,第４回　野村短期公社債ファンド,JP90C0002UG2
913,第５回　野村短期公社債ファンド,JP90C0002UH0
914,第６回　野村短期公社債ファンド,JP90C0002UJ6
915,第７回　野村短期公社債ファンド,JP90C0002UK4
916,第８回　野村短期公社債ファンド,JP90C0002UL2
917,第９回　野村短期公社債ファンド,JP90C0002UM0
918,第１０回　野村短期公社債ファンド,JP90C0002UN8
919,第１１回　野村短期公社債ファンド,JP90C0002UP3
920,第１２回　野村短期公社債ファンド,JP90C0002UQ1
921,第１回　公社債投資信託,JP90C0002UR9
922,第２回　公社債投資信託,JP90C0002US7
923,第３回　公社債投資信託,JP90C0002UT5
924,第４回　公社債投資信託,JP90C0002UU3
925,第５回　公社債投資信託,JP90C0002UV1
926,第６回　公社債投資信託,JP90C0002UW9
927,第７回　公社債投資信託,JP90C0002UX7
928,第８回　公社債投資信託,JP90C0002UY5
929,第９回　公社債投資信託,JP90C0002UZ2
930,第１０回　公社債投資信託,JP90C0002V08
931,第１１回　公社債投資信託,JP90C0002V16
932,第１２回　公社債投資信託,JP90C0002V24
933,財形給付金ファンド,JP90C0002V32
934,野村ＭＲＦ（マネー・リザーブ・ファンド）,JP90C0002V65
935,ノムラ日本株戦略ファンド（確定拠出年金向け）,JP90C0002YT7
936,ノムラ・ジャパン・オープン（確定拠出年金向け）,JP90C0002YU5
937,リサーチ・アクティブ・オープン（確定拠出年金向け）,JP90C0002YV3
938,トピックス・インデックス・オープン（確定拠出年金向け）,JP90C0002YW1
939,ノムラ日本債券オープン（確定拠出年金向け）,JP90C0002YX9
940,マイストーリー・株２５（確定拠出年金向け）,JP90C0002YY7
941,マイストーリー・株５０（確定拠出年金向け）,JP90C0002YZ4
942,マイストーリー・株７５（確定拠出年金向け）,JP90C0002Z04
943,マイストーリー・株１００（確定拠出年金向け）,JP90C0002Z12
944,マイストーリー・日本株１００（確定拠出年金向け）,JP90C0002Z20
945,バランスセレクト３０（確定拠出年金向け）,JP90C0002Z38
946,バランスセレクト５０（確定拠出年金向け）,JP90C0002Z46
947,バランスセレクト７０（確定拠出年金向け）,JP90C0002Z53
948,野村日本債券ファンド（確定拠出年金向け）,JP90C0002Z61
949,野村日本国債インデックスファンド（確定拠出年金向け）,JP90C0002Z79
950,野村外国株式インデックスファンド・ＭＳＣＩ−ＫＯＫＵＳＡＩ（確定拠出年金向け）,JP90C0002Z87
951,野村外国債券パッシブファンド（確定拠出年金向け）,JP90C0002Z95
952,国内債券・株式バランスファンド（確定拠出年金向け）,JP90C0002ZB2
953,グローバル・バリュー・オープン（確定拠出年金向け）,JP90C0002ZC0
954,マイバランス３０（確定拠出年金向け）,JP90C0002ZD8
955,マイバランス５０（確定拠出年金向け）,JP90C0002ZE6
956,マイバランス７０（確定拠出年金向け）,JP90C0002ZF3
957,野村国内債券インデックスファンド・ＮＯＭＵＲＡ−ＢＰＩ総合（確定拠出年金向け）,JP90C0002ZG1
958,野村国内株式インデックスファンド・ＴＯＰＩＸ（確定拠出年金向け）,JP90C0002ZH9
959,野村外国債券インデックスファンド（確定拠出年金向け）,JP90C0002ZJ5
960,野村世界ＥＳＧ株式インデックスファンド（確定拠出年金向け）,JP90C0002ZL1
961,野村Ｊ−ＲＥＩＴファンド（確定拠出年金向け）,JP90C0002ZM9
962,野村日経２２５インデックスファンド（確定拠出年金向け）,JP90C0002ZN7
963,野村世界好配当株投信（確定拠出年金向け）,JP90C0002ZQ0
964,スパークスジャパンスモールキャップファンド,JP90C0002ZU2
965,エマージング・カレンシー・債券ファンド（毎月分配型）,JP90C0002ZX6
966,公社債投信（１月号）,JP90C0003007
967,公社債投信（２月号）,JP90C0003015
968,公社債投信（３月号）,JP90C0003023
969,公社債投信（４月号）,JP90C0003031
970,公社債投信（５月号）,JP90C0003049
971,公社債投信（６月号）,JP90C0003056
972,公社債投信（７月号）,JP90C0003064
973,公社債投信（８月号）,JP90C0003072
974,公社債投信（９月号）,JP90C0003080
975,公社債投信（１０月号）,JP90C0003098
976,公社債投信（１１月号）,JP90C00030A3
977,公社債投信（１２月号）,JP90C00030B1
978,ＭＨＡＭのＭＲＦ（マネー・リザーブ・ファンド）,JP90C00030F2
979,みずほ豪ドル債券ファンド,JP90C00030J4
980,みずほ　Ｊ−ＲＥＩＴファンド,JP90C00030K2
981,ＭＨＡＭ　ライフ　ナビゲーション　インカム,JP90C00030L0
982,ＭＨＡＭライフ　ナビゲーション　２０２０,JP90C00030N6
983,ＭＨＡＭライフ　ナビゲーション　２０３０,JP90C00030P1
984,ＭＨＡＭライフ　ナビゲーション　２０４０,JP90C00030Q9
985,ＭＨＡＭトリニティオープン（毎月決算型）,JP90C00030R7
986,ＭＨＡＭ６資産バランスファンド,JP90C00030S5
987,ＭＨＡＭ　日本株式＜ＤＣ年金＞,JP90C00030T3
988,ＭＨＡＭ日本バリュー株オープン＜ＤＣ年金＞,JP90C00030U1
989,ＭＨＡＭ　Ｊ−ＲＥＩＴインデックスファンド＜ＤＣ年金＞,JP90C00030V9
990,ＭＨＡＭ株式オープン,JP90C00030W7
991,ＭＨＡＭキャピタル・グロース・オープン,JP90C00030X5
992,ＭＨＡＭ新興成長株オープン,JP90C00030Y3
993,マネックス・日本成長株ファンド,JP90C0003106
994,ＭＨＡＭ豪ドル債券ファンド（毎月決算型）,JP90C0003130
995,ルーミス米国投資適格債券ファンド［毎月決算型］,JP90C0003148
996,ＭＨＡＭ海外好配当株ファンド,JP90C0003163
997,インデックスミリオン,JP90C00031C7
998,ボンドミックスミリオン,JP90C00031D5
999,ＭＨＡＭトピックスファンド,JP90C00031V7
1000,ＭＨＡＭ　Ｊ−ＲＥＩＴインデックスファンド（毎月決算型）,JP90C00031W5
1001,ＭＨＡＭ物価連動国債ファンド,JP90C00031X3
1002,ＰＲＵ海外債券マーケット・パフォーマー,JP90C00032A9
1003,ＭＨＡＭ　日本株式,JP90C00034H0
1004,ＭＨＡＭジャパンオープン,JP90C00034K4
1005,ＭＨＡＭ株式インデックスファンド２２５,JP90C00034L2
1006,フィデリティ・ジャパン・オープン,JP90C00034V1
1007,フィデリティ・中小型株・オープン,JP90C00034W9
1008,フィデリティ・中小型株・オープン（野村ＳＭＡ向け）,JP90C00034X7
1009,フィデリティ・ジャパン・オープン（確定拠出年金向け）,JP90C00034Y5
1010,フィデリティ・ジャパン・オープン（野村ＳＭＡ向け）,JP90C00034Z2
1011,フィデリティ・欧州中小型株・オープン　Ａコース（為替ヘッジ付き）,JP90C0003502
1012,フィデリティ・欧州中小型株・オープン　Ｂコース（為替ヘッジなし）,JP90C0003510
1013,フィデリティ・日本・アジア成長株投信,JP90C0003528
1014,フィデリティ・ハイ・イールド・ボンド・オープン　ポートフォリオＡ（為替ヘッジなし）,JP90C0003536
1015,フィデリティ・ハイ・イールド・ボンド・オープン　ポートフォリオＢ（為替ヘッジあり）,JP90C0003544
1016,フィデリティ・グローバル・ファンド,JP90C0003551
1017,フィデリティ・バランス・ファンド,JP90C0003569
1018,フィデリティ・グローバル・エクイティ・オープン　Ａコース（限定為替ヘッジ）,JP90C0003577
1019,フィデリティ・グローバル・エクイティ・オープン　Ｂコース（為替ヘッジなし）,JP90C0003585
1020,フィデリティ・グローバル・エクイティ（野村ＳＭＡ向け）Ａコース（限定為替ヘッジ）,JP90C0003593
1021,フィデリティ・グローバル・エクイティ（野村ＳＭＡ向け）Ｂコース（為替ヘッジなし）,JP90C00035A2
1022,フィデリティ・日本成長株・ファンド,JP90C00035B0
1023,フィデリティ・日本小型株・ファンド,JP90C00035C8
1024,フィデリティ・欧州株・ファンド,JP90C00035D6
1025,フィデリティ・米国優良株・ファンド,JP90C00035E4
1026,フィデリティ・ＵＳハイ・イールド・ファンド,JP90C00035F1
1027,フィデリティ・アジア株・ファンド,JP90C00035H7
1028,フィデリティ・日本優良株・ファンド,JP90C00035J3
1029,フィデリティ・ジャパン・アグレッシブ・グロース,JP90C00035K1
1030,フィデリティ・日本バリュー・ファンド,JP90C00035L9
1031,フィデリティ・ジャパン・グロース・オープン,JP90C00035M7
1032,フィデリティ・テクノロジー厳選株式ファンド,JP90C00035N5
1033,フィデリティ・ヨーロッパ株式・ファンド,JP90C00035T2
1034,フィデリティ・チャイナ・フォーカス・オープン,JP90C00035W6
1035,フィデリティ・グローバル好配当株ファンド,JP90C00035X4
1036,フィデリティ・ワールド好配当株・ファンド,JP90C0003619
1037,フィデリティ・海外株式・ファンド（ＤＣ年金）,JP90C0003627
1038,フィデリティ・日本配当成長株・ファンド（分配重視型）,JP90C0003643
1039,フィデリティ・世界３資産・ファンド（毎月決算型）,JP90C0003676
1040,フィデリティ・世界分散・ファンド（債券重視型）,JP90C0003684
1041,フィデリティ・世界分散・ファンド（株式重視型）,JP90C0003692
1042,ＪＰＭジャパン・ディスカバリー・ファンド,JP90C00038B4
1043,ＪＰＭ　ＵＳトレジャリー・インカム・ファンド（３ヶ月決算型）,JP90C0003924
1044,２２５ＩＤＸオープン,JP90C00039A4
1045,大同ＤＣ２２５インデックスファンド,JP90C00039B2
1046,ＤＣアクティブバリューオープン,JP90C00039C0
1047,２２５インデックスファンド,JP90C00039Y4
1048,青のライフキャンバスファンド（標準型）,JP90C00039Z1
1049,赤のライフキャンバスファンド（積極型）,JP90C0003A02
1050,アクティブ　バリュー　オープン,JP90C0003A28
1051,大同リサーチ＆アクティブオープン,JP90C0003A36
1052,スパークス日本株ロングショートファンド,JP90C0003CB9
1053,スパークス日本株Ｌ＆Ｓ,JP90C0003CR5
1054,財形株投（一般財形３０）,JP90C0003CT1
1055,財形株投（一般財形５０）,JP90C0003CU9
1056,財形株投（年金・住宅財形３０）,JP90C0003CV7
1057,チャイナ　オープン,JP90C0003CW5
1058,ミリオン（リザーブポートフォリオ）,JP90C0003CX3
1059,野村ワールドスターオープン,JP90C0003CY1
1060,ハイ・イールドボンドオープン　Ａコース,JP90C0003D17
1061,ハイ・イールドボンドオープン　Ｂコース,JP90C0003D25
1062,タイ投資ファンド,JP90C0003D33
1063,ノムラ・ジャパン・オープン,JP90C0003D41
1064,野村新興国債券投信Ａコース（毎月分配型）,JP90C0003D58
1065,野村新興国債券投信Ｂコース（毎月分配型）,JP90C0003D66
1066,オーロラＩＩ（東欧投資ファンド）,JP90C0003D74
1067,オーロラＩＩ（マネープールファンド）,JP90C0003D82
1068,小型ブルーチップオープン,JP90C0003D90
1069,オーロラＩＩ（トルコ投資ファンド）,JP90C0003DA9
1070,グローバル・バリュー・オープン,JP90C0003DB7
1071,米国優先証券オープン,JP90C0003DC5
1072,ノムラ・ジャパン・バリュー・オープン,JP90C0003DQ5
1073,ノムラ日本株戦略ファンド,JP90C0003E16
1074,ＰＲＵグッドライフ２０３０（年金）,JP90C0003E73
1075,フィデリティ・ＵＳリート・ファンド　Ａ（為替ヘッジあり）,JP90C0003E81
1076,フィデリティ・ＵＳリート・ファンド　Ｂ（為替ヘッジなし）,JP90C0003E99
1077,ノムラ・ボンド・インカム・オープン,JP90C0003ED1
1078,ノムラ・ボンド＆ローン・ファンド,JP90C0003EE9
1079,ＪＰＭグローバルＣＢプラス,JP90C0003EG4
1080,フィデリティ・グローバル・エクイティ・オープン　Ａ（限定為替ヘッジ）（確定拠出年金向け）,JP90C0003EH2
1081,フィデリティ・グローバル・エクイティ・オープン　Ｂ（為替ヘッジなし）（確定拠出年金向け）,JP90C0003EJ8
1082,フィデリティ・ストラテジック・インカム・ファンド　Ａコース（為替ヘッジ付き）,JP90C0003EL4
1083,フィデリティ・ストラテジック・インカム・ファンド　Ｂコース（為替ヘッジなし）,JP90C0003EM2
1084,ＰＲＵグッドライフ２０４０（年金）,JP90C0003EP5
1085,野村ファンドラップ日本株,JP90C0003FR8
1086,野村ファンドラップ外国株　Ａコース,JP90C0003FS6
1087,野村ファンドラップ外国株　Ｂコース,JP90C0003FT4
1088,野村ファンドラップ外国債券　Ａコース,JP90C0003FU2
1089,野村ファンドラップ外国債券　Ｂコース,JP90C0003FV0
1090,大型株ファンド,JP90C0003G22
1091,ストック　インデックス　ファンド２２５,JP90C0003G30
1092,トピックス・インデックスファンド,JP90C0003G48
1093,財形給付金ファンド,JP90C0003G63
1094,インデックスポートフォリオ,JP90C0003G71
1095,ボンドミックスポートフォリオ,JP90C0003G89
1096,フィナンシャルミックスポートフォリオ,JP90C0003G97
1097,財形株投（一般財形５０）,JP90C0003GA2
1098,財形株投（一般財形３０）,JP90C0003GB0
1099,財形株投（年金・住宅財形３０）,JP90C0003GC8
1100,公社債投信（１月号）,JP90C0003GD6
1101,公社債投信（２月号）,JP90C0003GE4
1102,公社債投信（３月号）,JP90C0003GF1
1103,公社債投信（４月号）,JP90C0003GG9
1104,公社債投信（５月号）,JP90C0003GH7
1105,公社債投信（６月号）,JP90C0003GJ3
1106,公社債投信（７月号）,JP90C0003GK1
1107,公社債投信（８月号）,JP90C0003GL9
1108,公社債投信（９月号）,JP90C0003GM7
1109,公社債投信（１０月号）,JP90C0003GN5
1110,公社債投信（１１月号）,JP90C0003GP0
1111,公社債投信（１２月号）,JP90C0003GQ8
1112,ダイワＭＲＦ（マネー・リザーブ・ファンド）,JP90C0003H05
1113,新経済大国日本,JP90C0003H47
1114,大和ベストチョイス・オープン,JP90C0003H96
1115,マネー・オープン,JP90C0003HA0
1116,ダイワ・ジャパン・オープン,JP90C0003JU4
1117,ダイワ日本好配当株ファンド,JP90C0003K83
1118,ダイワ世界債券ファンド（毎月分配型）,JP90C0003KA4
1119,ダイワ拡大成長株ファンド,JP90C0003KD8
1120,ダイワ／モルガン・スタンレー世界新興国株ファンド,JP90C0003KG1
1121,ダイワ金融新時代ファンド,JP90C0003KJ5
1122,ダイワ新興企業株ファンド,JP90C0003KK3
1123,ダイワ米国リート・ファンド（毎月分配型）為替ヘッジなし,JP90C0003KW8
1124,ダイワ高格付カナダドル債オープン（毎月分配型）,JP90C0003KZ1
1125,彩の国応援ファンド,JP90C0003L58
1126,ダイワ高格付豪ドル債オープン（毎月分配型）,JP90C0003LH7
1127,ダイワ投信倶楽部日本債券インデックス,JP90C0003LJ3
1128,ダイワ投信倶楽部外国株式インデックス,JP90C0003LK1
1129,ダイワ投信倶楽部外国債券インデックス,JP90C0003LL9
1130,ダイワライフスタイル２５,JP90C0003LM7
1131,ダイワライフスタイル５０,JP90C0003LN5
1132,ダイワライフスタイル７５,JP90C0003LP0
1133,ダイワ・グローバル債券ファンド（毎月分配型）,JP90C0003LQ8
1134,ＤＣ・ダイワ・トピックス・インデックス（確定拠出年金専用ファンド）,JP90C0003LT2
1135,ダイワ・チャイナ・ファンド,JP90C0003LW6
1136,静岡ベンチマーク・ファンド,JP90C0003LY2
1137,ダイワ成長株オープン,JP90C0003LZ9
1138,ダイワ日本株オープン,JP90C0003M08
